,Country,year,Revenue,II,UP,CPS,EI,IA,lnRevenue,lnII,lnUP,lnCPS,lnEI,lnIA,,,,
109,16,2015,128.864,0.625,7434134,34,0.665,88.2,4.858757585,-0.470003629,15.82159265,3.526360525,-0.407968238,4.479606963,,,,
110,16,2016,130.925,0.631,7583048,33,0.675,96.1,4.87462464,-0.460449416,15.84142579,3.496507561,-0.393042588,4.565389316,,,,
111,16,2017,132.638,0.634,7732024,33,0.69,110.9,4.887623613,-0.455706325,15.86088122,3.496507561,-0.371063681,4.708628894,,,,
112,16,2018,138.486,0.638,7881919,29,0.69,114.2,4.930769237,-0.449416996,15.88008196,3.36729583,-0.371063681,4.737951297,,,,
113,17,2012,55.912,0.698,1665461,42,0.672,43.9,4.023779026,-0.359536176,14.32561252,3.737669618,-0.397496938,3.78191432,,,,
114,17,2013,59.458,0.704,1647984,42,0.683,52.9,4.085270181,-0.350976923,14.31506328,3.737669618,-0.381260419,3.968403339,,,,
115,17,2014,60.691,0.708,1631018,42,0.695,53.6,4.105795417,-0.345311185,14.30471492,3.737669618,-0.363843433,3.981549068,,,,
116,17,2015,61.891,0.715,1617732,38,0.687,67.8,4.125374773,-0.335472736,14.29653573,3.63758616,-0.375420987,4.216562195,,,,
117,17,2016,66.299,0.721,1609086,39,0.708,77.8,4.194174814,-0.327116142,14.29117687,3.663561646,-0.345311185,4.354141431,,,,
118,17,2017,72.165,0.726,1604577,38,0.706,92.3,4.278955164,-0.320205264,14.28837073,3.63758616,-0.348140041,4.525044142,,,,
119,17,2018,78.837,0.732,1603630,38,0.706,105.3,4.36738243,-0.311974765,14.28778037,3.63758616,-0.348140041,4.656813419,,,,
120,18,2012,24.824,0.753,1320976,65,0.645,161.4,3.211810927,-0.283690051,14.09388142,4.17438727,-0.438504962,5.083885756,,,,
121,18,2013,27.835,0.76,1352446,64,0.649,154.4,3.326294222,-0.274436846,14.11742536,4.158883083,-0.432322562,5.039546638,,,,
122,18,2014,30.094,0.765,1386171,64,0.653,196.6,3.404325816,-0.267879445,14.14205583,4.158883083,-0.42617815,5.281171208,,,,
